"First Name","Last Name",Email,"Mobile no.",Course,B.date,Created_Date,Updated_Date
Jay,Bavsikar,abc@123.comqe,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
jay,Bavsikar,jay@a.com,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Ritesh,abc,abc@123.comaaa,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Jayesh,abc,jay@a.coma,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Vivek,Gaikwad,abc@123.comq,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Ritesh,Gaikwad,jay@a.comaa,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
jay,Bavsikar,jay@a.comar,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Jay,abc,abc@123.comqa,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Jay,Bavsikar,abc@123.comse,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
Jay,Bavsikar,abc@123.co,7123456789,HTML,2012-12-31,2022-06-03,2022-06-03
