"First Name","Last Name",Email,"Mobile no.",Course,B.date,Created_Date,Updated_Date
Jay,Baviskar,jay@jb.com,7123456789,Ajax,1999-08-25,2022-04-07,2022-06-04
Ritesh,Gaikwad,ritesh@jb.com,7123456789,DBMS,1999-05-26,2022-06-01,2022-06-04
Jayesh,Shivanani,jayesh@jb.com,7123456789,Magento,2012-12-31,2022-06-04,2022-06-04
Adil,Popatiya,adil@jb.com,7123456789,Magento,2012-12-31,2022-06-04,2022-06-04
Tanvi,Darji,tanvi@jb.com,7123456789,PHP,2004-07-31,2022-06-04,2022-06-04
Raj,Patel,raj@jb.com,7123456789,CSS,2012-12-31,2022-06-04,2022-06-04
Dhruval,Shah,dhruval@jb.com,7123456789,Python,2012-12-31,2022-06-04,2022-06-04
Riddhi,Patel,riddhi@jb.com,7123456789,HTML,2000-01-04,2022-06-30,2022-06-30
Rajpal,Yadhav,rajpal@jb.com,7123456789,HTML,2012-12-31,2022-06-30,2022-06-30
Shahruk,Khan,Shahruk@jb.com,7123456789,HTML,2012-12-31,2022-06-30,2022-06-30
